00:00:08 cards=35478 train=31946 heldout=3532 distinct_struct=34288 struct=script device=cuda seed=0 text_model=sentence-transformers/all-MiniLM-L6-v2
00:00:10 params=22971387 steps/epoch=125 total_steps=5000
00:00:20 text anchor computed from the pretrained encoder: (35478, 384)
00:00:46 script anchor computed from the pretrained encoder: (35478, 384)
01:29:00 epoch=30/40 train_loss=0.1204 (infonce=0.0237 distill=0.0019 aux=0.0779) train_r@1=0.965 train_r@10=0.998 held_loss=0.2257 held_r@1=0.957 held_r@10=0.992 174s
01:31:54 epoch=31/40 train_loss=0.1192 (infonce=0.0227 distill=0.0019 aux=0.0777) train_r@1=0.966 train_r@10=0.998 held_loss=0.2242 held_r@1=0.958 held_r@10=0.991 173s
01:34:48 epoch=32/40 train_loss=0.1178 (infonce=0.0216 distill=0.0019 aux=0.0776) train_r@1=0.966 train_r@10=0.998 held_loss=0.2248 held_r@1=0.958 held_r@10=0.992 174s
01:37:43 epoch=33/40 train_loss=0.1179 (infonce=0.0219 distill=0.0019 aux=0.0774) train_r@1=0.966 train_r@10=0.998 held_loss=0.2241 held_r@1=0.959 held_r@10=0.992 175s
01:40:38 epoch=34/40 train_loss=0.1178 (infonce=0.0222 distill=0.0018 aux=0.0773) train_r@1=0.966 train_r@10=0.998 held_loss=0.2247 held_r@1=0.956 held_r@10=0.991 174s
01:43:31 epoch=35/40 train_loss=0.1167 (infonce=0.0211 distill=0.0018 aux=0.0772) train_r@1=0.966 train_r@10=0.999 held_loss=0.2226 held_r@1=0.957 held_r@10=0.992 173s
01:46:27 epoch=36/40 train_loss=0.1160 (infonce=0.0205 distill=0.0018 aux=0.0772) train_r@1=0.966 train_r@10=0.998 held_loss=0.2229 held_r@1=0.957 held_r@10=0.991 175s
01:49:21 epoch=37/40 train_loss=0.1151 (infonce=0.0198 distill=0.0018 aux=0.0770) train_r@1=0.965 train_r@10=0.998 held_loss=0.2228 held_r@1=0.957 held_r@10=0.992 174s
01:52:15 epoch=38/40 train_loss=0.1159 (infonce=0.0206 distill=0.0018 aux=0.0770) train_r@1=0.966 train_r@10=0.999 held_loss=0.2224 held_r@1=0.956 held_r@10=0.991 174s
01:55:08 epoch=39/40 train_loss=0.1155 (infonce=0.0202 distill=0.0018 aux=0.0770) train_r@1=0.966 train_r@10=0.999 held_loss=0.2225 held_r@1=0.957 held_r@10=0.991 173s
01:58:03 epoch=40/40 train_loss=0.1154 (infonce=0.0201 distill=0.0018 aux=0.0771) train_r@1=0.966 train_r@10=0.999 held_loss=0.2225 held_r@1=0.957 held_r@10=0.991 174s
02:03:54 exported emb.pt (35478, 128) final={'train': {'r@1': 0.966064453125, 'r@10': 0.99853515625, 'loss': 0.1675553321838379, 'n': 4096}, 'heldout': {'r@1': 0.9569648504257202, 'r@10': 0.990656852722168, 'loss': 0.22247570753097534, 'n': 3532}}
