22:23:35 cards=35478 train=31946 heldout=3532 distinct_struct=34288 struct=tree device=cuda seed=0 text_model=sentence-transformers/all-MiniLM-L6-v2
22:23:37 params=25828219 steps/epoch=125 total_steps=5000
22:23:47 text anchor computed from the pretrained encoder: (35478, 384)
22:40:50 epoch=30/40 train_loss=0.2157 (infonce=0.0392 distill=0.0013 aux=0.1638) train_r@1=0.944 train_r@10=0.998 held_loss=0.3885 held_r@1=0.928 held_r@10=0.990 33s
22:41:24 epoch=31/40 train_loss=0.2138 (infonce=0.0383 distill=0.0013 aux=0.1630) train_r@1=0.943 train_r@10=0.996 held_loss=0.3857 held_r@1=0.927 held_r@10=0.990 34s
22:41:58 epoch=32/40 train_loss=0.2121 (infonce=0.0371 distill=0.0012 aux=0.1625) train_r@1=0.946 train_r@10=0.997 held_loss=0.3819 held_r@1=0.932 held_r@10=0.990 34s
22:42:32 epoch=33/40 train_loss=0.2114 (infonce=0.0370 distill=0.0012 aux=0.1619) train_r@1=0.947 train_r@10=0.998 held_loss=0.3811 held_r@1=0.928 held_r@10=0.990 34s
22:43:07 epoch=34/40 train_loss=0.2109 (infonce=0.0368 distill=0.0012 aux=0.1618) train_r@1=0.947 train_r@10=0.998 held_loss=0.3762 held_r@1=0.928 held_r@10=0.990 34s
22:43:41 epoch=35/40 train_loss=0.2086 (infonce=0.0353 distill=0.0012 aux=0.1610) train_r@1=0.946 train_r@10=0.998 held_loss=0.3755 held_r@1=0.929 held_r@10=0.990 34s
22:44:15 epoch=36/40 train_loss=0.2076 (infonce=0.0346 distill=0.0012 aux=0.1608) train_r@1=0.946 train_r@10=0.998 held_loss=0.3761 held_r@1=0.928 held_r@10=0.990 34s
22:44:49 epoch=37/40 train_loss=0.2078 (infonce=0.0346 distill=0.0012 aux=0.1610) train_r@1=0.948 train_r@10=0.998 held_loss=0.3732 held_r@1=0.928 held_r@10=0.990 34s
22:45:23 epoch=38/40 train_loss=0.2058 (infonce=0.0329 distill=0.0012 aux=0.1607) train_r@1=0.946 train_r@10=0.998 held_loss=0.3728 held_r@1=0.929 held_r@10=0.990 34s
22:45:57 epoch=39/40 train_loss=0.2064 (infonce=0.0339 distill=0.0012 aux=0.1603) train_r@1=0.947 train_r@10=0.998 held_loss=0.3726 held_r@1=0.929 held_r@10=0.990 34s
22:46:32 epoch=40/40 train_loss=0.2062 (infonce=0.0338 distill=0.0012 aux=0.1602) train_r@1=0.947 train_r@10=0.998 held_loss=0.3725 held_r@1=0.928 held_r@10=0.990 34s
22:46:55 exported emb.pt (35478, 128) final={'train': {'r@1': 0.94677734375, 'r@10': 0.99755859375, 'loss': 0.28512269258499146, 'n': 4096}, 'heldout': {'r@1': 0.9283691644668579, 'r@10': 0.9903737306594849, 'loss': 0.3724849820137024, 'n': 3532}}
