game,user_deck_covered,opp_logged_covered,both_covered,deck_distinct,deck_cards,user_missing,opp_missing
225,1,1,1,28,40,,
226,1,1,1,23,40,,
227,1,1,1,23,40,,
228,1,1,1,25,40,,
229,1,1,1,23,40,,
230,1,1,1,24,40,,
231,1,1,1,23,40,,
232,1,1,1,23,40,,
233,1,1,1,25,40,,
234,1,1,1,26,40,,
235,1,1,1,21,40,,
236,1,1,1,21,40,,
237,1,1,1,24,40,,
238,1,1,1,21,40,,
239,1,1,1,24,40,,
240,1,1,1,24,40,,
241,1,1,1,22,40,,
242,1,1,1,22,40,,
243,1,1,1,25,40,,
244,1,1,1,26,40,,
245,1,1,1,21,40,,
246,1,1,1,23,40,,
247,1,1,1,28,40,,
248,1,1,1,23,41,,
249,1,1,1,23,40,,
250,1,1,1,21,40,,
251,1,1,1,22,41,,
252,1,1,1,23,40,,
253,1,1,1,24,40,,
254,1,1,1,27,40,,
255,1,1,1,21,40,,
256,1,1,1,22,45,,
257,1,1,1,22,40,,
258,1,1,1,26,40,,
259,1,1,1,27,40,,
260,1,1,1,23,40,,
261,1,1,1,20,40,,
262,1,1,1,24,40,,
263,1,1,1,21,40,,
264,1,1,1,27,40,,
265,1,1,1,21,40,,
266,1,1,1,20,40,,
267,1,1,1,20,40,,
268,1,1,1,22,40,,
269,1,1,1,19,40,,
270,1,1,1,25,40,,
271,1,1,1,23,40,,
272,1,1,1,24,40,,
273,1,1,1,23,40,,
274,1,1,1,23,40,,
275,1,1,1,17,40,,
276,1,1,1,18,40,,
277,1,1,1,20,40,,
278,1,1,1,21,40,,
279,1,1,1,23,40,,
280,1,1,1,18,40,,
281,1,1,1,22,40,,
282,1,1,1,19,40,,
283,1,1,1,21,40,,
284,1,1,1,22,40,,
285,1,1,1,18,40,,
286,1,1,1,22,40,,
287,1,1,1,22,40,,
288,1,1,1,18,40,,
289,1,1,1,27,40,,
290,1,1,1,26,40,,
291,1,1,1,22,41,,
292,1,1,1,28,40,,
293,1,1,1,23,41,,
294,1,1,1,20,40,,
295,1,1,1,22,40,,
296,1,1,1,25,40,,
297,1,1,1,25,40,,
298,1,1,1,21,40,,
299,1,1,1,24,40,,
300,1,1,1,24,40,,
301,1,1,1,21,40,,
302,1,1,1,21,40,,
303,1,1,1,27,40,,
304,1,1,1,23,40,,
305,1,1,1,22,40,,
306,1,1,1,20,40,,
307,1,1,1,23,40,,
308,1,1,1,23,40,,
309,1,1,1,23,40,,
310,1,1,1,25,40,,
311,1,1,1,19,40,,
312,1,1,1,23,40,,
313,1,1,1,20,40,,
314,1,1,1,25,40,,
315,1,1,1,21,40,,
316,1,1,1,19,40,,
317,1,1,1,24,40,,
318,1,1,1,20,40,,
319,1,1,1,19,40,,
320,1,1,1,25,40,,
321,1,1,1,29,40,,
322,1,1,1,22,40,,
323,1,1,1,27,40,,
324,1,1,1,26,41,,
325,1,1,1,22,40,,
326,1,1,1,26,40,,
327,1,1,1,23,41,,
328,1,1,1,24,40,,
329,1,1,1,24,40,,
330,1,1,1,19,40,,
331,1,1,1,25,40,,
332,1,1,1,25,40,,
333,1,1,1,15,40,,
334,1,1,1,23,41,,
335,1,1,1,24,40,,
336,1,1,1,22,40,,
337,1,1,1,24,40,,
338,1,1,1,29,40,,
339,1,1,1,25,40,,
340,1,1,1,25,40,,
341,1,1,1,22,40,,
342,1,1,1,19,40,,
343,1,1,1,21,40,,
344,1,1,1,24,40,,
345,1,1,1,20,40,,
346,1,1,1,23,41,,
347,1,1,1,21,40,,
348,1,1,1,18,40,,
349,1,1,1,28,40,,
350,1,1,1,22,40,,
351,1,1,1,20,40,,
352,1,1,1,18,40,,
353,1,1,1,22,40,,
354,1,1,1,22,40,,
355,1,1,1,22,40,,
356,1,1,1,18,40,,
357,1,1,1,22,40,,
358,1,1,1,25,40,,
359,1,1,1,24,40,,
360,1,1,1,23,40,,
361,1,1,1,28,40,,
362,1,1,1,27,40,,
363,1,1,1,24,40,,
364,1,1,1,22,40,,
365,1,1,1,21,40,,
366,1,1,1,21,40,,
367,1,1,1,23,40,,
368,1,1,1,17,40,,
369,1,1,1,24,44,,
370,1,1,1,24,40,,
371,1,1,1,25,40,,
372,1,1,1,22,40,,
373,1,1,1,23,40,,
374,1,1,1,23,40,,
375,1,1,1,20,40,,
376,1,1,1,20,40,,
377,1,1,1,17,40,,
378,1,1,1,29,40,,
379,1,1,1,24,40,,
380,1,1,1,23,40,,
381,1,1,1,23,40,,
382,1,1,1,22,40,,
383,1,1,1,23,40,,
384,1,1,1,23,40,,
385,1,1,1,22,40,,
386,1,1,1,21,40,,
387,1,1,1,22,40,,
388,1,1,1,23,40,,
389,1,1,1,24,40,,
390,1,1,1,25,40,,
391,1,1,1,25,40,,
392,1,1,1,21,40,,
393,1,1,1,25,41,,
394,1,1,1,25,40,,
395,1,1,1,22,40,,
396,1,1,1,21,41,,
397,1,1,1,23,40,,
398,1,1,1,26,40,,
399,1,1,1,20,40,,
400,1,1,1,25,41,,
401,1,1,1,21,40,,
402,1,1,1,21,40,,
403,1,1,1,17,41,,
404,1,1,1,24,40,,
405,1,1,1,24,40,,
406,1,1,1,21,40,,
407,1,1,1,22,40,,
408,1,1,1,23,40,,
409,1,1,1,22,40,,
410,1,1,1,25,40,,
411,1,1,1,21,40,,
412,1,1,1,27,40,,
413,1,1,1,21,40,,
414,1,1,1,20,40,,
415,1,1,1,22,40,,
416,1,1,1,22,40,,
417,1,1,1,22,40,,
418,1,1,1,24,40,,
419,1,1,1,27,40,,
420,1,1,1,21,40,,
421,1,1,1,19,40,,
422,1,1,1,28,40,,
423,1,1,1,22,40,,
424,1,1,1,21,40,,
425,1,1,1,20,40,,
426,1,1,1,22,40,,
427,1,1,1,23,40,,
428,1,1,1,21,40,,
429,1,1,1,29,40,,
430,1,1,1,26,40,,
431,1,1,1,21,40,,
432,1,1,1,25,40,,
433,1,1,1,22,40,,
434,1,1,1,25,40,,
435,1,1,1,21,40,,
436,1,1,1,24,41,,
437,1,1,1,20,40,,
438,1,1,1,24,40,,
439,1,1,1,22,40,,
440,1,1,1,23,40,,
441,1,1,1,28,40,,
442,1,1,1,19,40,,
443,1,1,1,23,40,,
444,1,1,1,24,40,,
445,1,1,1,25,40,,
446,1,1,1,26,40,,
447,1,1,1,18,40,,
448,1,1,1,23,40,,
449,1,1,1,28,40,,
450,1,1,1,19,40,,
451,1,1,1,20,40,,
452,1,1,1,23,40,,
453,1,1,1,21,40,,
454,1,1,1,25,40,,
455,1,1,1,20,40,,
456,1,1,1,26,40,,
457,1,1,1,23,40,,
458,1,1,1,24,40,,
459,1,1,1,24,40,,
460,1,1,1,22,40,,
461,1,1,1,18,40,,
462,1,1,1,21,40,,
463,1,1,1,23,40,,
464,1,1,1,21,40,,
465,1,1,1,26,40,,
466,1,1,1,25,40,,
467,1,1,1,28,40,,
468,1,1,1,28,40,,
469,1,1,1,29,40,,
470,1,1,1,24,40,,
471,1,1,1,22,40,,
472,1,1,1,26,40,,
473,1,1,1,26,40,,
474,1,1,1,23,41,,
475,1,1,1,24,40,,
476,1,1,1,21,40,,
477,1,1,1,22,40,,
478,1,1,1,27,40,,
479,1,1,1,20,40,,
480,1,1,1,26,40,,
481,1,1,1,26,40,,
482,1,1,1,24,40,,
483,1,1,1,19,40,,
484,1,1,1,24,40,,
485,1,1,1,26,40,,
486,1,1,1,22,40,,
487,1,1,1,17,40,,
488,1,1,1,24,40,,
489,1,1,1,24,40,,
490,1,1,1,19,40,,
491,1,1,1,27,40,,
492,1,1,1,28,40,,
493,1,1,1,23,40,,
494,1,1,1,29,40,,
495,1,1,1,25,40,,
496,1,1,1,22,41,,
497,1,1,1,26,40,,
498,1,1,1,23,40,,
499,1,1,1,23,40,,
500,1,1,1,29,43,,
501,1,1,1,18,40,,
502,1,1,1,22,40,,
503,1,1,1,21,40,,
504,1,1,1,21,40,,
505,1,1,1,21,40,,
506,1,1,1,22,40,,
507,1,1,1,23,40,,
508,1,1,1,21,40,,
509,1,1,1,26,40,,
510,1,1,1,21,40,,
511,1,1,1,21,40,,
512,1,1,1,21,40,,
513,1,1,1,21,40,,
514,1,1,1,18,40,,
515,1,1,1,21,40,,
516,1,1,1,31,41,,
517,1,1,1,27,40,,
518,1,1,1,21,40,,
519,1,1,1,18,40,,
520,1,1,1,21,40,,
521,1,1,1,27,40,,
522,1,1,1,21,40,,
523,1,1,1,25,40,,
524,1,1,1,22,40,,
